14
0	0.25	INF	0.187	INF	INF	INF	0.025	INF	0.025	INF	INF	INF	INF		
0.25	0	3.672	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF		
INF	3.672	0	INF	3.672	INF	INF	INF	INF	INF	INF	INF	INF	INF		
0.187	INF	INF	0	0.1	0.5	INF	INF	INF	INF	INF	INF	INF	INF		
INF	INF	3.672	0.1	0	INF	0.38	INF	INF	INF	INF	INF	INF	INF		
INF	INF	INF	0.5	INF	0	3.672	INF	INF	INF	INF	INF	INF	INF		
INF	INF	INF	INF	0.38	3.672	0	INF	INF	INF	INF	INF	INF	INF		
0.025	INF	INF	INF	INF	INF	INF	0	0.5	INF	INF	INF	INF	INF		
INF	INF	INF	INF	INF	INF	INF	0.5	0	INF	INF	INF	INF	INF		
0.025	INF	INF	INF	INF	INF	INF	INF	INF	0	2.083	INF	INF	INF		
INF	INF	INF	INF	INF	INF	INF	INF	INF	2.083	0	INF	INF	0.01		
INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	0	4.06	INF		
INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	4.06	0	0.5		
INF	INF	INF	INF	INF	INF	INF	INF	INF	INF	0.01	INF	0.5	0		

