13
0 	INF 	INF 	INF 	INF 	INF 	INF 	INF 	INF 	INF 	INF 	INF 	INF 	
INF 	0 	4194.3 	INF 	INF 	INF 	INF 	INF 	INF 	INF 	INF 	INF 	INF 	
INF 	4194.3 	0 	4194.3 	INF 	INF 	INF 	INF 	INF 	INF 	INF 	INF 	INF 	
INF 	INF 	4194.3 	0 	4194.3 	INF 	INF 	INF 	INF 	INF 	INF 	INF 	INF 	
INF 	INF 	INF 	4194.3 	0 	INF 	INF 	INF 	INF 	INF 	INF 	INF 	INF 	
INF 	INF 	INF 	INF 	INF 	0 	8388.61 	INF 	INF 	INF 	INF 	INF 	INF 	
INF 	INF 	INF 	INF 	INF 	8388.61 	0 	8388.61 	INF 	INF 	INF 	INF 	INF 	
INF 	INF 	INF 	INF 	INF 	INF 	8388.61 	0 	8388.61 	INF 	INF 	INF 	INF 	
INF 	INF 	INF 	INF 	INF 	INF 	INF 	8388.61 	0 	INF 	INF 	INF 	INF 	
INF 	INF 	INF 	INF 	INF 	INF 	INF 	INF 	INF 	0 	16777.2 	INF 	INF 	
INF 	INF 	INF 	INF 	INF 	INF 	INF 	INF 	INF 	16777.2 	0 	16777.2 	INF 	
INF 	INF 	INF 	INF 	INF 	INF 	INF 	INF 	INF 	INF 	16777.2 	0 	16777.2 	
INF 	INF 	INF 	INF 	INF 	INF 	INF 	INF 	INF 	INF 	INF 	16777.2 	0 	
